xh	xm	sfz	lxdh	nj	bj	bzr	zy	xy	xx	cjsj
12345678	聂腾辉	111111	18270234361	2019	190411		信息安全科学	信息工程学院	中国某某大学	5/4/2020 11:35:12
16041101	张某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041103	蓝某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041104	林某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041105	罗某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041106	谢某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041107	黄某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041108	曾某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041109	卢某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041110	乔某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041111	余某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041112	杨某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041113	蔡某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041114	邓某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041115	丁某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041118	李某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041119	饶某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041120	邵某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041121	王某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041122	吴某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041123	夏某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041124	严某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041125	曾某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041126	赵某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041127	徐某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041128	卢某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041129	刘某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041130	孙某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041131	糜某某	111111	18270234361	2016	160411	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041202	朱某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041203	宁某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041204	王某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041205	张某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041206	胡某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041209	彭某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041210	朱某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041211	周某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041212	李某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041213	陈某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041215	邓某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041216	邓某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041218	江某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041219	刘某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041220	罗某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041221	沈某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041222	王某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041223	王某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041224	肖某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041225	熊某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041226	郑某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041227	张某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041228	卢某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041229	张某某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041230	吕某	111111	18270234361	2016	160412	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041301	陈某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041302	秦某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041303	王某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041304	吴某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041305	刘某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041306	郑某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041307	韦某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041308	洪某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041309	贾某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041310	邬某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041311	文某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041312	宋某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041313	陈某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041314	陈某	111111	18270234361	2018	180413	70116	大数据科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041315	赖某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041316	李某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041317	刘某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041318	刘某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041319	罗某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041320	孙某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041321	王某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041322	王某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041323	吴某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041324	肖某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041325	曾某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041326	邹某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041327	贺某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041328	朱某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041329	寸某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041330	马某某	111111	18270234361	2016	160413	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041401	赵某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041402	王某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041403	陈某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041404	余某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041405	陈某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041406	李某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041407	仇某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041408	田某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041409	琚某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041411	谭某某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
16041412	唐某	111111	18270234361	2016	160414	70064	物联网信息科学	信息工程学院	中国某某大学	7/2/2020 10:21:21
